Id,Nombre,Imagen,Tipo Pokemon,Peso,Habilidades,Movimiento,Altura,Habitat,Es baby,Es Legendario,Es Mitico,Generacion,Descripcion
355,duskull,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/355.png,ghost,15.0,"levitate,frisk","headbutt,body-slam,double-edge,leer,disable,ice-beam,blizzard,toxic,psychic,night-shade,mimic,double-team,confuse-ray,haze,dream-eater,leech-life,flash,rest,substitute,thief,nightmare,snore,curse,spite,protect,feint-attack,foresight,destiny-bond,icy-wind,endure,swagger,mean-look,attract,sleep-talk,return,frustration,pain-split,pursuit,hidden-power,rain-dance,sunny-day,psych-up,shadow-ball,future-sight,torment,will-o-wisp,memento,facade,taunt,helping-hand,trick,revenge,skill-swap,imprison,grudge,snatch,secret-power,astonish,calm-mind,gravity,natural-gift,payback,embargo,fling,sucker-punch,dark-pulse,shadow-sneak,trick-room,captivate,charge-beam,ominous-wind,wonder-room,telekinesis,round,ally-switch,hex,phantom-force,confide,infestation,skitter-smack,poltergeist,tera-blast",0.8,forest,No,No,No,generation-iii,"Persigue a su presa sin descanso allá donde vaya. No obstante, abandona la caza al amanecer."
356,dusclops,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/356.png,ghost,30.6,"pressure,frisk","mega-punch,fire-punch,ice-punch,thunder-punch,bind,mega-kick,headbutt,body-slam,double-edge,leer,disable,ice-beam,blizzard,hyper-beam,counter,seismic-toss,strength,earthquake,toxic,psychic,night-shade,mimic,double-team,confuse-ray,haze,metronome,dream-eater,leech-life,flash,rest,rock-slide,substitute,thief,nightmare,snore,curse,spite,protect,mud-slap,foresight,icy-wind,endure,swagger,mean-look,attract,sleep-talk,return,frustration,pain-split,dynamic-punch,pursuit,hidden-power,rain-dance,sunny-day,psych-up,shadow-ball,future-sight,rock-smash,torment,will-o-wisp,memento,facade,focus-punch,taunt,helping-hand,trick,revenge,brick-break,skill-swap,imprison,snatch,secret-power,astonish,rock-tomb,shadow-punch,calm-mind,gravity,natural-gift,payback,embargo,fling,sucker-punch,dark-pulse,giga-impact,shadow-sneak,trick-room,captivate,charge-beam,ominous-wind,wonder-room,telekinesis,round,ally-switch,hex,bulldoze,phantom-force,confide,infestation,power-up-punch,skitter-smack,poltergeist,tera-blast",1.6,forest,No,No,No,generation-iii,"Si alguien mira los fuegos fatuos del interior de Dusclops, perderá su alma irremediablemente."
357,tropius,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/357.png,"grass,flying",100.0,"chlorophyll,solar-power,harvest","razor-wind,swords-dance,cut,gust,whirlwind,fly,slam,stomp,headbutt,body-slam,take-down,double-edge,leer,roar,hyper-beam,strength,leech-seed,growth,razor-leaf,solar-beam,earthquake,toxic,mimic,double-team,flash,rest,substitute,snore,curse,spite,protect,mud-slap,outrage,giga-drain,endure,swagger,fury-cutter,steel-wing,attract,sleep-talk,return,frustration,safeguard,sweet-scent,synthesis,hidden-power,twister,rain-dance,sunny-day,rock-smash,facade,nature-power,helping-hand,secret-power,air-cutter,silver-wind,bullet-seed,aerial-ace,magical-leaf,leaf-blade,dragon-dance,roost,natural-gift,tailwind,u-turn,worry-seed,seed-bomb,air-slash,dragon-pulse,energy-ball,giga-impact,zen-headbutt,defog,leaf-storm,captivate,grass-knot,ominous-wind,wide-guard,round,bestow,bulldoze,dragon-tail,leaf-tornado,hurricane,petal-blizzard,grassy-terrain,confide,solar-blade,dragon-hammer,brutal-swing,stomping-tantrum,body-press,dual-wingbeat,tera-blast,trailblaze",2.0,forest,No,No,No,generation-iii,Puede volar al agitar sus grandes hojas. Reparte entre los niños la codiciada fruta dulce que crece de su cuello.
358,chimecho,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/358.png,psychic,1.0,levitate,"bind,wrap,take-down,double-edge,growl,disable,psybeam,thunder-wave,toxic,confusion,psychic,hypnosis,mimic,double-team,recover,defense-curl,light-screen,reflect,swift,dream-eater,flash,psywave,rest,substitute,nightmare,snore,curse,protect,perish-song,icy-wind,endure,charm,rollout,swagger,attract,sleep-talk,heal-bell,return,frustration,safeguard,baton-pass,encore,hidden-power,rain-dance,sunny-day,psych-up,shadow-ball,future-sight,uproar,torment,facade,taunt,helping-hand,trick,wish,magic-coat,recycle,yawn,knock-off,skill-swap,imprison,snatch,secret-power,hyper-voice,astonish,fake-tears,cosmic-power,signal-beam,extrasensory,calm-mind,shock-wave,gravity,healing-wish,natural-gift,last-resort,energy-ball,zen-headbutt,defog,trick-room,captivate,grass-knot,charge-beam,psyshock,telekinesis,synchronoise,entrainment,round,echoed-voice,stored-power,ally-switch,heal-pulse,snarl,disarming-voice,draining-kiss,crafty-shield,confide,dazzling-gleam,laser-focus,expanding-force,tera-blast,psychic-noise",0.6,grassland,No,No,No,generation-iii,Se cuelga de ramas y aleros con la ventosa de su cabeza. Tiene siete tipos de gritos diferentes.
359,absol,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/359.png,dark,47.0,"pressure,super-luck,justified","scratch,razor-wind,swords-dance,cut,headbutt,body-slam,double-edge,leer,bite,flamethrower,ice-beam,blizzard,hyper-beam,counter,strength,thunderbolt,thunder-wave,thunder,toxic,quick-attack,mimic,double-team,focus-energy,fire-blast,swift,dream-eater,flash,rest,rock-slide,slash,substitute,thief,nightmare,snore,curse,spite,protect,feint-attack,mud-slap,perish-song,icy-wind,detect,sandstorm,endure,false-swipe,swagger,fury-cutter,mean-look,attract,sleep-talk,return,frustration,megahorn,baton-pass,pursuit,iron-tail,hidden-power,rain-dance,sunny-day,psych-up,shadow-ball,future-sight,rock-smash,hail,torment,will-o-wisp,facade,taunt,role-play,superpower,magic-coat,knock-off,snatch,secret-power,rock-tomb,aerial-ace,bounce,calm-mind,shock-wave,water-pulse,natural-gift,feint,close-combat,payback,assurance,me-first,punishment,sucker-punch,dark-pulse,night-slash,air-slash,x-scissor,giga-impact,shadow-claw,psycho-cut,zen-headbutt,stone-edge,captivate,charge-beam,hone-claws,foul-play,round,echoed-voice,hex,incinerate,retaliate,snarl,play-rough,confide,laser-focus,throat-chop,brutal-swing",1.2,mountain,No,No,No,generation-iii,Presiente desastres inminentes y se aparece a la gente para advertir del peligro.
360,wynaut,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/360.png,psychic,14.0,"shadow-tag,telepathy","counter,amnesia,splash,destiny-bond,charm,safeguard,encore,mirror-coat",0.6,cave,Si,No,No,generation-iii,Suelen ir en grupo y a la hora de dormir se resguardan en una cueva.
361,snorunt,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/361.png,ice,16.8,"inner-focus,ice-body,moody","headbutt,body-slam,take-down,double-edge,leer,bite,disable,ice-beam,blizzard,toxic,mimic,double-team,light-screen,bide,flash,rest,substitute,snore,spite,powder-snow,protect,spikes,icy-wind,endure,rollout,swagger,attract,sleep-talk,return,frustration,safeguard,hidden-power,rain-dance,crunch,shadow-ball,hail,facade,helping-hand,secret-power,astonish,weather-ball,fake-tears,icicle-spear,block,water-pulse,natural-gift,switcheroo,avalanche,ice-shard,ice-fang,captivate,round,hex,frost-breath,icicle-crash,confide,tera-blast,ice-spinner,snowscape,trailblaze,chilling-water",0.7,cave,No,No,No,generation-iii,Se dice que se reúnen en grupos bajo hojas gigantescas y viven allí en total armonía.
362,glalie,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/362.png,ice,256.5,"inner-focus,ice-body,moody","headbutt,body-slam,take-down,double-edge,leer,bite,ice-beam,blizzard,hyper-beam,earthquake,toxic,mimic,double-team,defense-curl,light-screen,self-destruct,flash,explosion,rest,super-fang,substitute,snore,spite,powder-snow,protect,scary-face,spikes,icy-wind,endure,rollout,swagger,attract,sleep-talk,return,frustration,safeguard,hidden-power,rain-dance,crunch,shadow-ball,hail,torment,facade,taunt,helping-hand,secret-power,astonish,weather-ball,fake-tears,signal-beam,sheer-cold,icicle-spear,block,water-pulse,gyro-ball,natural-gift,payback,dark-pulse,giga-impact,avalanche,ice-shard,ice-fang,iron-head,captivate,foul-play,round,hex,bulldoze,frost-breath,freeze-dry,confide,laser-focus,steel-roller,tera-blast,ice-spinner,snowscape,trailblaze,chilling-water",1.5,cave,No,No,No,generation-iii,Se protege con una armadura de hielo creada por congelación de la humedad del aire.
363,spheal,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/363.png,"ice,water",39.5,"thick-fat,ice-body,oblivious","headbutt,body-slam,double-edge,growl,water-gun,surf,ice-beam,blizzard,aurora-beam,strength,earthquake,fissure,toxic,mimic,double-team,defense-curl,waterfall,rest,rock-slide,super-fang,substitute,snore,curse,powder-snow,protect,belly-drum,mud-slap,icy-wind,endure,rollout,swagger,attract,sleep-talk,return,frustration,encore,iron-tail,hidden-power,rain-dance,rock-smash,whirlpool,stockpile,spit-up,swallow,hail,facade,yawn,secret-power,dive,ice-ball,rock-tomb,signal-beam,sheer-cold,water-sport,water-pulse,brine,natural-gift,aqua-ring,aqua-tail,captivate,round,echoed-voice,bulldoze,frost-breath,confide,steel-roller",0.8,sea,No,No,No,generation-iii,"Como no saben nadar muy bien, se mueven rápidamente rodando. Cuando están alegres, dan palmadas con las aletas."
364,sealeo,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/364.png,"ice,water",87.6,"thick-fat,ice-body,oblivious","headbutt,body-slam,double-edge,growl,roar,water-gun,surf,ice-beam,blizzard,aurora-beam,strength,earthquake,toxic,mimic,double-team,defense-curl,waterfall,rest,rock-slide,super-fang,substitute,snore,powder-snow,protect,mud-slap,icy-wind,endure,rollout,swagger,attract,sleep-talk,return,frustration,encore,iron-tail,hidden-power,rain-dance,rock-smash,whirlpool,hail,facade,secret-power,dive,ice-ball,rock-tomb,signal-beam,sheer-cold,icicle-spear,water-pulse,brine,natural-gift,aqua-tail,captivate,round,echoed-voice,bulldoze,frost-breath,confide,steel-roller",1.1,sea,No,No,No,generation-iii,"Su nariz es muy sensible. Cuando ve algo por primera vez, lo toca con ella para recordarlo después."
365,walrein,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/365.png,"ice,water",150.6,"thick-fat,ice-body,oblivious","swords-dance,headbutt,body-slam,double-edge,growl,roar,water-gun,hydro-pump,surf,ice-beam,blizzard,aurora-beam,hyper-beam,strength,earthquake,toxic,mimic,double-team,defense-curl,waterfall,rest,rock-slide,super-fang,substitute,snore,powder-snow,protect,mud-slap,icy-wind,endure,rollout,swagger,fury-cutter,attract,sleep-talk,return,frustration,encore,iron-tail,hidden-power,rain-dance,crunch,rock-smash,whirlpool,hail,facade,secret-power,dive,ice-ball,rock-tomb,signal-beam,sheer-cold,icicle-spear,block,water-pulse,brine,natural-gift,aqua-tail,giga-impact,avalanche,ice-fang,iron-head,captivate,heavy-slam,round,echoed-voice,bulldoze,frost-breath,confide,stomping-tantrum,liquidation,body-press,steel-roller",1.4,sea,No,No,No,generation-iii,Rompe el hielo con sus colmillos. Su gruesa capa de grasa le protege del frío y de los enemigos.
366,clamperl,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/366.png,water,52.5,"shell-armor,rattled","body-slam,double-edge,supersonic,water-gun,surf,ice-beam,blizzard,toxic,mimic,double-team,confuse-ray,barrier,waterfall,clamp,rest,substitute,snore,protect,icy-wind,endure,swagger,attract,sleep-talk,return,frustration,hidden-power,rain-dance,whirlpool,hail,facade,refresh,secret-power,dive,mud-sport,muddy-water,iron-defense,water-pulse,brine,natural-gift,aqua-ring,captivate,round,scald,shell-smash,confide",0.4,sea,No,No,No,generation-iii,Produce durante su vida una sola perla que aumenta los poderes psíquicos al evolucionar.
367,huntail,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/367.png,water,27.0,"swift-swim,water-veil","bind,body-slam,double-edge,bite,water-gun,hydro-pump,surf,ice-beam,blizzard,hyper-beam,toxic,mimic,screech,double-team,waterfall,swift,rest,super-fang,substitute,snore,protect,scary-face,feint-attack,mud-slap,icy-wind,endure,swagger,attract,sleep-talk,return,frustration,baton-pass,hidden-power,rain-dance,crunch,whirlpool,hail,facade,snatch,secret-power,dive,rock-tomb,iron-defense,bounce,water-pulse,brine,natural-gift,sucker-punch,aqua-tail,giga-impact,ice-fang,captivate,coil,round,scald,shell-smash,confide,infestation",1.7,sea,No,No,No,generation-iii,"Vive en los abismos marinos, donde no se filtra la luz. Tiene una cola en forma de pez, que enciende para atraer a su presa."
368,gorebyss,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/368.png,water,22.6,"swift-swim,hydration","bind,body-slam,double-edge,water-gun,hydro-pump,surf,ice-beam,blizzard,hyper-beam,toxic,confusion,psychic,agility,mimic,double-team,waterfall,swift,amnesia,rest,substitute,snore,protect,mud-slap,icy-wind,endure,swagger,attract,sleep-talk,return,frustration,safeguard,baton-pass,hidden-power,rain-dance,psych-up,shadow-ball,whirlpool,hail,facade,secret-power,dive,signal-beam,iron-defense,bounce,water-sport,water-pulse,brine,natural-gift,aqua-ring,aqua-tail,giga-impact,captivate,coil,round,scald,shell-smash,draining-kiss,confide,infestation",1.8,sea,No,No,No,generation-iii,"Vive en el fondo del mar. En primavera, su cuerpo rosado adquiere colores más vivos."
369,relicanth,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/369.png,"water,rock",23.4,"swift-swim,rock-head,sturdy","headbutt,tackle,body-slam,take-down,double-edge,water-gun,hydro-pump,surf,ice-beam,blizzard,hyper-beam,earthquake,toxic,mimic,double-team,harden,waterfall,skull-bash,amnesia,rest,rock-slide,substitute,snore,flail,protect,mud-slap,icy-wind,sandstorm,endure,swagger,attract,sleep-talk,return,frustration,safeguard,magnitude,hidden-power,rain-dance,psych-up,ancient-power,rock-smash,whirlpool,hail,facade,yawn,secret-power,dive,mud-sport,rock-tomb,muddy-water,iron-defense,bounce,mud-shot,water-sport,calm-mind,rock-blast,water-pulse,brine,natural-gift,rock-polish,aqua-tail,earth-power,giga-impact,zen-headbutt,stone-edge,captivate,stealth-rock,head-smash,smack-down,round,scald,bulldoze,confide,stomping-tantrum,liquidation,body-press,scale-shot,meteor-beam",1.0,sea,No,No,No,generation-iii,No ha sufrido ningún cambio desde hace 100 millones de años. Fue descubierto durante una expedición marina.
370,luvdisc,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/370.png,water,8.7,"swift-swim,hydration","tackle,take-down,double-edge,supersonic,water-gun,hydro-pump,surf,ice-beam,blizzard,toxic,agility,mimic,double-team,waterfall,swift,splash,rest,substitute,snore,flail,protect,sweet-kiss,icy-wind,endure,charm,swagger,attract,sleep-talk,return,frustration,safeguard,hidden-power,rain-dance,psych-up,whirlpool,hail,facade,wish,endeavor,secret-power,dive,mud-sport,bounce,water-sport,water-pulse,brine,natural-gift,lucky-chant,aqua-ring,captivate,aqua-jet,soak,entrainment,round,scald,heal-pulse,heart-stamp,draining-kiss,confide,baby-doll-eyes,liquidation,tearful-look,scale-shot,flip-turn,tera-blast,snowscape",0.6,sea,No,No,No,generation-iii,"Vive en mares cálidos. Se dice que, si una pareja lo encuentra, será bendecida con amor eterno."
371,bagon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/371.png,dragon,42.1,"rock-head,sheer-force","cut,headbutt,body-slam,take-down,thrash,double-edge,leer,bite,roar,ember,flamethrower,hydro-pump,strength,dragon-rage,fire-spin,toxic,rage,mimic,double-team,defense-curl,focus-energy,fire-blast,rest,rock-slide,substitute,snore,protect,scary-face,mud-slap,outrage,endure,swagger,fury-cutter,attract,sleep-talk,return,frustration,dragon-breath,hidden-power,twister,rain-dance,sunny-day,crunch,rock-smash,facade,helping-hand,brick-break,secret-power,hyper-voice,rock-tomb,aerial-ace,iron-defense,dragon-claw,dragon-dance,natural-gift,dragon-pulse,dragon-rush,shadow-claw,thunder-fang,fire-fang,zen-headbutt,draco-meteor,iron-head,captivate,hone-claws,round,incinerate,dragon-tail,confide,tera-blast,dragon-cheer",0.6,rough-terrain,No,No,No,generation-iii,Su desarrollado cuello y su cabeza dura como el acero le permiten reducir a añicos rocas enormes.
372,shelgon,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/372.png,dragon,110.5,"rock-head,overcoat","cut,headbutt,body-slam,take-down,double-edge,leer,bite,roar,ember,flamethrower,hydro-pump,strength,fire-spin,toxic,rage,mimic,double-team,defense-curl,focus-energy,fire-blast,rest,rock-slide,substitute,snore,protect,scary-face,mud-slap,outrage,endure,rollout,swagger,fury-cutter,attract,sleep-talk,return,frustration,dragon-breath,hidden-power,twister,rain-dance,sunny-day,crunch,rock-smash,facade,helping-hand,brick-break,secret-power,hyper-voice,rock-tomb,aerial-ace,iron-defense,dragon-claw,dragon-dance,natural-gift,dragon-pulse,shadow-claw,thunder-fang,fire-fang,zen-headbutt,draco-meteor,iron-head,captivate,hone-claws,round,incinerate,dragon-tail,confide,tera-blast,dragon-cheer,temper-flare",1.1,rough-terrain,No,No,No,generation-iii,"Las células han empezado a cambiar dentro de su dura concha, que se separa cuando evoluciona."
373,salamence,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/373.png,"dragon,flying",102.6,"intimidate,moxie","cut,fly,headbutt,body-slam,take-down,double-edge,leer,bite,roar,ember,flamethrower,hydro-pump,hyper-beam,strength,fire-spin,earthquake,toxic,rage,mimic,double-team,defense-curl,focus-energy,fire-blast,swift,rest,rock-slide,substitute,snore,protect,scary-face,mud-slap,outrage,endure,rollout,swagger,fury-cutter,steel-wing,attract,sleep-talk,return,frustration,dragon-breath,iron-tail,hidden-power,twister,rain-dance,sunny-day,crunch,rock-smash,heat-wave,facade,helping-hand,brick-break,secret-power,hyper-voice,air-cutter,rock-tomb,aerial-ace,iron-defense,dragon-claw,dragon-dance,roost,natural-gift,tailwind,aqua-tail,air-slash,dragon-pulse,giga-impact,shadow-claw,thunder-fang,fire-fang,zen-headbutt,defog,draco-meteor,iron-head,stone-edge,captivate,ominous-wind,hone-claws,round,incinerate,bulldoze,dragon-tail,hurricane,confide,laser-focus,brutal-swing,psychic-fangs,breaking-swipe,dual-wingbeat,tera-blast,dragon-cheer,temper-flare",1.5,rough-terrain,No,No,No,generation-iii,"Si se enfada, no hay forma de calmarlo; lo destruye todo lanzando arañazos y llamas."
374,beldum,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/374.png,"steel,psychic",95.2,"clear-body,light-metal","headbutt,tackle,take-down,iron-defense,zen-headbutt,iron-head,steel-beam,tera-blast",0.6,rough-terrain,No,No,No,generation-iii,"Los pulsos magnéticos de su cuerpo repelen la gravedad, lo que le permite flotar en el aire."
375,metang,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/375.png,"steel,psychic",202.5,"clear-body,light-metal","ice-punch,thunder-punch,cut,headbutt,tackle,body-slam,take-down,double-edge,hyper-beam,strength,earthquake,toxic,confusion,psychic,agility,mimic,double-team,defense-curl,light-screen,reflect,self-destruct,swift,flash,explosion,rest,rock-slide,substitute,snore,protect,scary-face,sludge-bomb,mud-slap,icy-wind,sandstorm,endure,rollout,swagger,fury-cutter,sleep-talk,return,frustration,dynamic-punch,pursuit,metal-claw,hidden-power,rain-dance,sunny-day,psych-up,shadow-ball,future-sight,rock-smash,facade,focus-punch,trick,brick-break,secret-power,meteor-mash,rock-tomb,cosmic-power,signal-beam,aerial-ace,iron-defense,gravity,miracle-eye,gyro-ball,natural-gift,magnet-rise,rock-polish,giga-impact,bullet-punch,psycho-cut,zen-headbutt,flash-cannon,iron-head,stealth-rock,grass-knot,hone-claws,psyshock,telekinesis,heavy-slam,round,ally-switch,bulldoze,confide,power-up-punch,steel-beam,expanding-force,steel-roller,meteor-beam,tera-blast,trailblaze,hard-press,psychic-noise",1.2,rough-terrain,No,No,No,generation-iii,Lo forman dos Beldum unidos. Puede chocarse con un avión sin que su cuerpo de acero sufra ni un rasguño.
376,metagross,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/376.png,"steel,psychic",550.0,"clear-body,light-metal","ice-punch,thunder-punch,cut,headbutt,tackle,body-slam,take-down,double-edge,hyper-beam,strength,earthquake,toxic,confusion,psychic,agility,mimic,double-team,defense-curl,light-screen,reflect,self-destruct,swift,flash,explosion,rest,rock-slide,substitute,snore,protect,scary-face,sludge-bomb,mud-slap,icy-wind,sandstorm,endure,rollout,swagger,fury-cutter,sleep-talk,return,frustration,dynamic-punch,pursuit,metal-claw,hidden-power,rain-dance,sunny-day,psych-up,shadow-ball,future-sight,rock-smash,facade,focus-punch,trick,brick-break,knock-off,secret-power,meteor-mash,rock-tomb,cosmic-power,signal-beam,aerial-ace,iron-defense,block,gravity,miracle-eye,hammer-arm,gyro-ball,natural-gift,magnet-rise,rock-polish,giga-impact,bullet-punch,shadow-claw,psycho-cut,zen-headbutt,flash-cannon,iron-head,stone-edge,stealth-rock,grass-knot,hone-claws,psyshock,telekinesis,heavy-slam,round,ally-switch,bulldoze,confide,power-up-punch,laser-focus,brutal-swing,psychic-fangs,stomping-tantrum,body-press,steel-beam,expanding-force,steel-roller,meteor-beam,tera-blast,trailblaze,hard-press,psychic-noise",1.6,rough-terrain,No,No,No,generation-iii,"Gracias a sus cuatro cerebros, es más inteligente que un superordenador y analiza con precisión al enemigo."
377,regirock,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/377.png,rock,230.0,"clear-body,sturdy","mega-punch,fire-punch,ice-punch,thunder-punch,stomp,mega-kick,headbutt,body-slam,take-down,double-edge,hyper-beam,counter,seismic-toss,strength,thunderbolt,thunder-wave,thunder,rock-throw,earthquake,dig,toxic,mimic,double-team,defense-curl,self-destruct,explosion,rest,rock-slide,substitute,snore,curse,protect,mud-slap,zap-cannon,lock-on,sandstorm,endure,rollout,swagger,sleep-talk,return,frustration,safeguard,dynamic-punch,hidden-power,sunny-day,psych-up,ancient-power,rock-smash,facade,focus-punch,superpower,brick-break,secret-power,rock-tomb,sand-tomb,iron-defense,block,rock-blast,shock-wave,gravity,hammer-arm,natural-gift,fling,rock-polish,power-gem,drain-punch,focus-blast,earth-power,giga-impact,flash-cannon,rock-climb,iron-head,stone-edge,stealth-rock,charge-beam,smack-down,heavy-slam,round,bulldoze,confide,power-up-punch,stomping-tantrum,body-press,meteor-beam,tera-blast,hard-press",1.7,cave,No,Si,No,generation-iii,"Su cuerpo está hecho de roca. Si se astilla durante el combate, emplea piedras para repararlo."
378,regice,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/378.png,ice,175.0,"clear-body,ice-body","mega-punch,ice-punch,thunder-punch,stomp,mega-kick,headbutt,body-slam,double-edge,ice-beam,blizzard,hyper-beam,counter,seismic-toss,strength,thunderbolt,thunder-wave,thunder,earthquake,toxic,mimic,double-team,defense-curl,self-destruct,amnesia,explosion,rest,rock-slide,substitute,snore,curse,protect,mud-slap,zap-cannon,icy-wind,lock-on,endure,rollout,swagger,sleep-talk,return,frustration,safeguard,dynamic-punch,hidden-power,rain-dance,psych-up,ancient-power,rock-smash,hail,facade,focus-punch,superpower,brick-break,secret-power,rock-tomb,signal-beam,icicle-spear,block,shock-wave,gravity,hammer-arm,natural-gift,fling,rock-polish,focus-blast,giga-impact,avalanche,flash-cannon,rock-climb,iron-head,charge-beam,heavy-slam,round,bulldoze,frost-breath,confide,power-up-punch,aurora-veil,stomping-tantrum,body-press,tera-blast,ice-spinner,snowscape",1.8,cave,No,Si,No,generation-iii,Dicen que ha yacido durmiendo en un glaciar durante milenios. Ni el magma puede derretir su cuerpo.
379,registeel,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/379.png,steel,205.0,"clear-body,light-metal","mega-punch,ice-punch,thunder-punch,stomp,mega-kick,headbutt,body-slam,take-down,double-edge,hyper-beam,counter,seismic-toss,strength,thunderbolt,thunder-wave,thunder,earthquake,toxic,mimic,double-team,defense-curl,self-destruct,amnesia,explosion,rest,rock-slide,substitute,snore,curse,protect,mud-slap,zap-cannon,lock-on,sandstorm,endure,rollout,swagger,sleep-talk,return,frustration,safeguard,dynamic-punch,metal-claw,hidden-power,rain-dance,sunny-day,psych-up,ancient-power,rock-smash,facade,focus-punch,superpower,brick-break,secret-power,rock-tomb,metal-sound,sand-tomb,aerial-ace,iron-defense,block,shock-wave,gravity,hammer-arm,natural-gift,fling,magnet-rise,rock-polish,focus-blast,giga-impact,shadow-claw,flash-cannon,rock-climb,iron-head,stealth-rock,charge-beam,hone-claws,heavy-slam,round,bulldoze,confide,power-up-punch,stomping-tantrum,body-press,steel-beam,steel-roller,meteor-beam,tera-blast,ice-spinner,hard-press",1.9,cave,No,Si,No,generation-iii,Su cuerpo ha estado sometido a la presión subterránea durante miles de años y no puede arañarse.
380,latias,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/380.png,"dragon,psychic",40.0,levitate,"cut,fly,body-slam,take-down,double-edge,roar,surf,ice-beam,hyper-beam,solar-beam,thunderbolt,thunder-wave,thunder,earthquake,toxic,confusion,psychic,agility,mimic,double-team,recover,light-screen,reflect,waterfall,swift,dream-eater,flash,psywave,rest,tri-attack,substitute,snore,protect,mud-slap,icy-wind,outrage,sandstorm,endure,charm,swagger,fury-cutter,steel-wing,attract,sleep-talk,return,frustration,safeguard,dragon-breath,baton-pass,hidden-power,twister,rain-dance,sunny-day,psych-up,shadow-ball,future-sight,whirlpool,facade,helping-hand,trick,role-play,wish,magic-coat,refresh,secret-power,dive,mist-ball,weather-ball,air-cutter,aerial-ace,dragon-claw,covet,water-sport,calm-mind,dragon-dance,shock-wave,water-pulse,roost,healing-wish,natural-gift,tailwind,psycho-shift,last-resort,sucker-punch,aura-sphere,air-slash,dragon-pulse,energy-ball,giga-impact,shadow-claw,psycho-cut,zen-headbutt,defog,draco-meteor,captivate,grass-knot,charge-beam,hone-claws,guard-split,psyshock,telekinesis,magic-room,round,stored-power,ally-switch,heal-pulse,reflect-type,retaliate,bulldoze,disarming-voice,draining-kiss,confide,mystical-fire,laser-focus,liquidation,breaking-swipe,scale-shot,dual-wingbeat,tera-blast,chilling-water,dragon-cheer,alluring-voice",1.4,waters-edge,No,Si,No,generation-iii,"Se comunica por telepatía. Su plumaje refleja la luz, lo que le permite hacerse invisible."
